"Data","Nuovi contagi del giorno","Nuovi decessi","Decessi BS","Decessi Valle","Decessi totale","Nuovi guariti per giorno","Guariti BS","Guariti Valle","Guariti totale","Attualmente_positivi"
2021-10-12,41,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-13,47,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-14,37,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-15,44,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-16,41,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-17,36,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-18,13,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-19,60,1,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-20,46,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-21,64,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-22,55,1,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-23,62,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-24,42,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-25,12,1,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-26,71,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-27,57,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-28,58,1,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-29,59,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-30,54,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
